interaction_id,source_baseline,target_baseline,ligand_complex_baseline,receptor_complex_baseline,interaction_coef_baseline,interaction_ci95_low_baseline,interaction_ci95_high_baseline,n_observations_baseline,interaction_p_value_baseline,fdr_q_value_baseline,n_cHD_baseline,mean_cHD_baseline,n_cSLE_baseline,mean_cSLE_baseline,n_aHD_baseline,mean_aHD_baseline,n_aSLE_baseline,mean_aSLE_baseline,source_scenario,target_scenario,ligand_complex_scenario,receptor_complex_scenario,interaction_coef_scenario,interaction_ci95_low_scenario,interaction_ci95_high_scenario,n_observations_scenario,interaction_p_value_scenario,fdr_q_value_scenario,n_cHD_scenario,mean_cHD_scenario,n_cSLE_scenario,mean_cSLE_scenario,n_aHD_scenario,mean_aHD_scenario,n_aSLE_scenario,mean_aSLE_scenario
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815293,-0.39856698106447774,-0.16422702309858087,55,2.512953082541338e-06,0.0010583720732636602,11,0.909392681706466,32,0.6674090622839507,5,0.8254815384716299,7,0.8648949211306439,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.22459584322017456,-0.3159615979717637,-0.13323008846858542,55,1.4500789062093817e-06,0.0002484468525972074,11,0.941663074545086,32,0.7560138516272722,5,0.8934965989027269,7,0.9324432192050877
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917504,-0.42700612333784344,-0.18100693684565733,55,1.2708525802345141e-06,0.0010583720732636602,11,0.8920281523255682,32,0.6600519619297714,5,0.7451219947804345,7,0.817152334476388,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.24419220278861908,-0.34481236117130687,-0.14357204440593127,55,1.968993599119779e-06,0.00025301567748689155,11,0.892700741730053,32,0.7055195252182118,5,0.8181822835792006,7,0.8751932698559786
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.39844084737757046,0.23086300952809216,0.5660186852270488,53,3.160537008850793e-06,0.0011409538601951364,11,0.24022861515621055,32,0.4257647705009604,5,0.5524364407322481,5,0.3395317486994275,CD4 T Cells,NK Cells,CD48,CD244,0.1699643827292457,-0.04807792718685264,0.38800669264534404,53,0.12656330975801308,0.45491986864069034,11,0.3483156207329801,32,0.4305153711961181,5,0.47599981483379716,5,0.38823518256768946
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2762399946078873,-0.4031564912837031,-0.14932349793207145,55,1.9904625290979942e-05,0.002958764006488607,11,0.8894844091865892,32,0.6602511782313376,5,0.7977013426169692,7,0.844708106269605,CD4 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2477856980452391,-0.34830805704431284,-0.14726333904616534,55,1.356622563093213e-06,0.0002484468525972074,11,0.8994939376814703,32,0.7049789355819216,5,0.8503277065620181,7,0.9035984025077083
B Cells|CD4 T Cells|FAM3C|CLEC2D,B Cells,CD4 T Cells,FAM3C,CLEC2D,0.1129035151445966,0.059429201951417474,0.1663778283377757,56,3.500577111459387e-05,0.00359630960137643,11,0.007729305623678714,33,0.1206328207682753,5,0.0,7,0.0,B Cells,CD4 T Cells,FAM3C,CLEC2D,0.06482142438392197,-0.04456026001267084,0.17420310878051476,56,0.24543553618016434,0.5978856189412535,11,0.033908487662250894,33,0.1516998223356531,5,0.0,7,0.05296991028948025
CD8 T Cells|NK Cells|CD48|CD244,CD8 T Cells,NK Cells,CD48,CD244,0.396235982746181,0.20392043976267535,0.5885515257296866,53,5.386336325477198e-05,0.004537090631493627,11,0.23610071214147507,32,0.4185040198744429,5,0.5679301783076606,5,0.35409750329444745,CD8 T Cells,NK Cells,CD48,CD244,0.1609189479961114,-0.07468211428698251,0.3965200102792053,53,0.18067360858564996,0.5382537725036332,11,0.34274132352395603,32,0.43255343866309015,5,0.486862808761931,5,0.4157559759049537
NK Cells|CD8 T Cells|LCK|CD8A_CD8B,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.45884207833628865,-0.6975570096884081,-0.2201271469841692,56,0.00016501382762117208,0.00910455893800032,11,0.35705886145438837,33,0.2591677867955493,5,0.16661643558737507,7,0.5275674392648246,NK Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.33867691152136326,-0.4725923660846578,-0.20476145695806866,56,7.165700531838347e-07,0.0002484468525972074,11,0.5699098388956658,33,0.44688703144591563,5,0.5025135756992594,7,0.7181676797708724
Non-classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.22450591576837398,-0.3440800418969795,-0.10493178963976847,56,0.00023330490825836962,0.01112380194658302,11,0.6559234090100089,33,0.5491037749832571,5,0.492428734026929,7,0.6101150157685512,Non-classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.16246144429781806,-0.2385777205234061,-0.08634516807223004,56,2.872852397980947e-05,0.0024610768876036776,11,0.770513002970144,33,0.7054588683509346,5,0.6722090443296096,7,0.7696163540082183
Classical Monocytes|Non-classical Monocytes|LGALS9|CD44,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.2667749346621959,-0.4167257279565302,-0.1168241413678616,56,0.0004885828479369125,0.01738942051741659,11,0.4518195025773325,33,0.3882340301018541,5,0.2269021617416705,7,0.43009162392838796,Classical Monocytes,Non-classical Monocytes,LGALS9,CD44,-0.2461049089865135,-0.3752345674846644,-0.1169752504883626,56,0.0001873834121851853,0.012039384232898156,11,0.6220809725638495,33,0.5552588301909839,5,0.44215969169500624,7,0.6214424583086541
CD4 T Cells|CD8 T Cells|LCK|CD8A_CD8B,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.4099270749756887,-0.6411618854517244,-0.17869226449965303,56,0.0005116665095979418,0.01795807319102776,11,0.4485772152783347,33,0.3755570075187878,5,0.10975115985349446,7,0.44665802706963625,CD4 T Cells,CD8 T Cells,LCK,CD8A_CD8B,-0.26663669392723865,-0.3962913659616629,-0.13698202189281442,56,5.5612390626826115e-05,0.0040835383974555176,11,0.6495732848233357,33,0.571282466468439,5,0.48151435106883145,7,0.6698602266411735
Non-classical Monocytes|NK Cells|BAG6|NCR3,Non-classical Monocytes,NK Cells,BAG6,NCR3,-0.20278628776987276,-0.3182098780559968,-0.08736269748374871,55,0.0005743711481652254,0.01909606641488144,11,0.4050210710283055,33,0.2226594076259092,5,0.003331778525928408,6,0.023756402893404898,Non-classical Monocytes,NK Cells,BAG6,NCR3,-0.2252013118233925,-0.3795664156112569,-0.07083620803552812,55,0.0042448757811017965,0.0623418698137131,11,0.41631734247967,33,0.2399829089619554,5,0.031679203202420035,6,0.08054608150809793
Non-classical Monocytes|Non-classical Monocytes|CD52|SIGLEC10,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.3243017101483886,-0.5127550641453247,-0.1358483561514525,55,0.0007440195719793782,0.022382588790379625,11,0.8690013222572336,32,0.5545641714431956,5,0.7409570534459845,7,0.7508216127803351,Non-classical Monocytes,Non-classical Monocytes,CD52,SIGLEC10,-0.2690226931223556,-0.4125080972100348,-0.12553728903467645,55,0.00023807071946710352,0.013461001945161533,11,0.9121649276205258,32,0.6617450437605878,5,0.832613490131678,7,0.8512162993940956
pDCs|Non-classical Monocytes|GRN|TNFRSF1B,pDCs,Non-classical Monocytes,GRN,TNFRSF1B,-0.2139161358506757,-0.3463358096744636,-0.08149646202688782,44,0.0015444155399698281,0.03899331206871738,10,0.8256811961823921,22,0.6812033475269185,5,0.670056883145218,7,0.7394951703404201,pDCs,Non-classical Monocytes,GRN,TNFRSF1B,-0.165333687392064,-0.2587577829012858,-0.07190959188284217,44,0.0005232349910659696,0.020752017156041056,10,0.8886870021643467,22,0.794548006307582,5,0.779691042752068,7,0.8508857342873674
CD4 T Cells|Non-classical Monocytes|ANXA1|FPR1,CD4 T Cells,Non-classical Monocytes,ANXA1,FPR1,-0.30938324034318515,-0.5041639497008154,-0.11460253098555492,55,0.0018510692739539091,0.0433115931044586,10,0.4196933354251128,33,0.2918564848666693,5,0.3913353603122857,7,0.5728817500970275,CD4 T Cells,Non-classical Monocytes,ANXA1,FPR1,-0.2663472817540954,-0.5339869435466988,0.001292380038508012,55,0.05111658928991224,0.28558616190233577,10,0.2654719701864593,33,0.2109210148955447,5,0.3190284176257233,7,0.5308247440889041
