interaction_id,source_baseline,target_baseline,ligand_complex_baseline,receptor_complex_baseline,interaction_coef_baseline,interaction_ci95_low_baseline,interaction_ci95_high_baseline,n_observations_baseline,interaction_p_value_baseline,fdr_q_value_baseline,n_cHD_baseline,mean_cHD_baseline,n_cSLE_baseline,mean_cSLE_baseline,n_aHD_baseline,mean_aHD_baseline,n_aSLE_baseline,mean_aSLE_baseline,source_scenario,target_scenario,ligand_complex_scenario,receptor_complex_scenario,interaction_coef_scenario,interaction_ci95_low_scenario,interaction_ci95_high_scenario,n_observations_scenario,interaction_p_value_scenario,fdr_q_value_scenario,n_cHD_scenario,mean_cHD_scenario,n_cSLE_scenario,mean_cSLE_scenario,n_aHD_scenario,mean_aHD_scenario,n_aSLE_scenario,mean_aSLE_scenario
B Cells|Non-classical Monocytes|CD52|SIGLEC10,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2813970020815293,-0.39856698106447774,-0.16422702309858087,55,2.512953082541338e-06,0.0010583720732636602,11,0.909392681706466,32,0.6674090622839507,5,0.8254815384716299,7,0.8648949211306439,B Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2786078745038154,-0.39449205976630103,-0.1627236892413298,55,2.4514034587201872e-06,0.001002619075903565,11,0.9111971897590002,32,0.675268549141254,5,0.8271275842468622,7,0.8698068181329314
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.3040065300917504,-0.42700612333784344,-0.18100693684565733,55,1.2708525802345141e-06,0.0010583720732636602,11,0.8920281523255682,32,0.6600519619297714,5,0.7451219947804345,7,0.817152334476388,CD8 T Cells,Non-classical Monocytes,CD52,SIGLEC10,-0.2853884587906127,-0.4097561653646453,-0.16102075221658008,55,6.873808210363625e-06,0.001019901293212703,11,0.8400557467920048,32,0.6232156992041832,5,0.7218137650597051,7,0.7903621762624962
Classical Monocytes|NK Cells|TGFB1|ITGB1,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.4346183610100481,-0.6107741986310684,-0.25846252338902775,55,1.3267959811462452e-06,0.0010583720732636602,11,0.3869485373322121,33,0.19390948690018756,5,0.10423795626258565,6,0.34581726684060915,Classical Monocytes,NK Cells,TGFB1,ITGB1,-0.45537600863773353,-0.6564419525440408,-0.25431006473142626,55,9.040110028051569e-06,0.0011922900670330236,11,0.37559121966550235,33,0.17627296123221917,5,0.10293905296295303,6,0.35899680316740334
Classical Monocytes|NK Cells|TIMP2|ITGB1,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.3664714545843465,0.21458967430772138,0.5183532348609716,56,2.254681194593067e-06,0.0010583720732636602,11,0.23248439219654526,33,0.3462307994475615,5,0.3940637425604783,7,0.1413386952271481,Classical Monocytes,NK Cells,TIMP2,ITGB1,0.31232444088690003,0.1804315994235948,0.4442172823502053,56,3.4634589319556545e-06,0.001002619075903565,11,0.27819559108237374,33,0.3503241539002543,5,0.39017808613883165,7,0.14998220806981216
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.2970727910324652,-0.41994075354557436,-0.174204828519356,56,2.1494206502168267e-06,0.0010583720732636602,11,0.7168938225507969,33,0.5185404506706673,5,0.6043849111883637,7,0.7031043303406993,Non-classical Monocytes,CD4 T Cells,CD48,CD2,-0.3220652674780353,-0.4306674410985377,-0.2134630938575329,56,6.15934657730052e-09,1.4622288774511436e-05,11,0.6655895952955124,33,0.4407838370552549,5,0.5867941950125122,7,0.68405370425029
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.30794424018547684,0.18263909983100426,0.43324938053994944,56,1.4593815491725102e-06,0.0010583720732636602,11,0.04290937522122876,33,0.2305325509881722,5,0.3220278291394497,7,0.20170676472091634,Non-classical Monocytes,CD4 T Cells,SELPLG,ITGB2,0.35239905863307797,0.1921995678213572,0.5125985494447988,56,1.6219950357015582e-05,0.0016741809629371735,11,0.06458117538147025,33,0.26262240941177895,5,0.34980451396705325,7,0.19544668936428397
CD4 T Cells|NK Cells|CD48|CD244,CD4 T Cells,NK Cells,CD48,CD244,0.39844084737757046,0.23086300952809216,0.5660186852270488,53,3.160537008850793e-06,0.0011409538601951364,11,0.24022861515621055,32,0.4257647705009604,5,0.5524364407322481,5,0.3395317486994275,CD4 T Cells,NK Cells,CD48,CD244,0.40258005748475245,0.23153181922492078,0.5736282957445842,53,3.969330316884271e-06,0.001002619075903565,11,0.23949496308222767,32,0.42373129717300684,5,0.5523988389128482,5,0.33405511551887496
CD4 T Cells|Classical Monocytes|ICAM2|ITGAM_ITGB2,CD4 T Cells,Classical Monocytes,ICAM2,ITGAM_ITGB2,-0.2770228183070236,-0.3958981162201762,-0.15814752039387098,56,4.9373761373919625e-06,0.0015595936873986861,11,0.17750411507091943,33,0.17834344063939236,5,0.01147659401060872,7,0.28933873788610526,CD4 T Cells,Classical Monocytes,ICAM2,ITGAM_ITGB2,-0.24814755719680354,-0.41328072680585365,-0.08301438758775342,56,0.0032268239490617612,0.04614747021128085,11,0.11054076875249579,33,0.12471856272577088,5,0.00568273116200464,7,0.26800808233208323
CD4 T Cells|Non-classical Monocytes|ARF6|SMAP1,CD4 T Cells,Non-classical Monocytes,ARF6,SMAP1,-0.4663117048467469,-0.6718928185492463,-0.2607305911442475,55,8.760179206058568e-06,0.00201245207761,11,0.23270764407296476,32,0.16530787280157447,5,0.11007426089454977,7,0.5089861944699063,CD4 T Cells,Non-classical Monocytes,ARF6,SMAP1,-0.35790448267178504,-0.5405594908623965,-0.1752494744811735,55,0.0001228022200851564,0.005523513661527101,11,0.11126800606024224,32,0.10953416302655629,5,0.056395563412830654,7,0.4125662030509297
CD4 T Cells|B Cells|LTB|CD40,CD4 T Cells,B Cells,LTB,CD40,-0.29881563202641837,-0.42996982430052855,-0.1676614397523082,56,7.988529774611389e-06,0.00201245207761,11,0.8553986144000703,33,0.7264657238226588,5,0.6921328320508244,7,0.8620155734998314,CD4 T Cells,B Cells,LTB,CD40,-0.2946314575296751,-0.4258495342505202,-0.16341338080883006,56,1.0784290314128557e-05,0.0013474686950390104,11,0.821357199188185,33,0.714843129366944,5,0.6711137134507623,7,0.8592311011591965
