interaction_id,interaction_coef_primary,fdr_q_value_primary,interaction_coef_female_only,fdr_q_value_female_only
B Cells|Non-classical Monocytes|CD52|SIGLEC10,-0.2813970020815296,0.0010583720732636,-0.28381054240627146,0.002440239022542804
CD8 T Cells|Non-classical Monocytes|CD52|SIGLEC10,-0.3040065300917503,0.0010583720732636,-0.30839797232150923,0.002440239022542804
Classical Monocytes|NK Cells|TGFB1|ITGB1,-0.4346183610100479,0.0010583720732636,-0.43242850427231727,0.002440239022542804
Classical Monocytes|NK Cells|TIMP2|ITGB1,0.3664714545843467,0.0010583720732636,0.3683069228352762,0.002440239022542804
Non-classical Monocytes|CD4 T Cells|CD48|CD2,-0.2970727910324653,0.0010583720732636,-0.28599878710806553,0.002440239022542804
Non-classical Monocytes|CD4 T Cells|SELPLG|ITGB2,0.307944240185477,0.0010583720732636,0.2965718435490716,0.002440239022542804
CD4 T Cells|NK Cells|CD48|CD244,0.3984408473775701,0.0011409538601951,0.39264649961828374,0.002440239022542804
CD4 T Cells|Classical Monocytes|ICAM2|ITGAM_ITGB2,-0.2770228183070236,0.0015595936873987,-0.2519766610296193,0.006110576164161156
CD4 T Cells|Non-classical Monocytes|ARF6|SMAP1,-0.4663117048467465,0.00201245207761,-0.4636194987189636,0.0026088173612143113
CD4 T Cells|B Cells|LTB|CD40,-0.2988156320264186,0.00201245207761,-0.28429911801395946,0.004673656751050511
Non-classical Monocytes|CD8 T Cells|SELPLG|ITGB2,-0.4019999094457764,0.00201245207761,-0.4046693863064509,0.0026088173612143113
Classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,-0.4477976147531639,0.0021473106840919,-0.43344802287574424,0.004673656751050511
CD8 T Cells|Non-classical Monocytes|PTPN6|CLEC12A,-0.3752485591776572,0.0021473106840919,-0.3805513295950646,0.002773971842200189
B Cells|B Cells|LTB|CD40,-0.3746674603213984,0.0022612287135158,-0.3580425666095468,0.005408353360494399
CD4 T Cells|Non-classical Monocytes|IL16|CD4,-0.3777036953422785,0.0022612287135158,-0.3513294384342176,0.006234066658890419
Non-classical Monocytes|NK Cells|CD48|CD2,-0.3787067259845955,0.0024966091655222,-0.3927609035487814,0.0026088173612143113
CD4 T Cells|Non-classical Monocytes|CD52|SIGLEC10,-0.2762399946078874,0.0029587640064885,-0.27644043220067804,0.005408353360494399
Non-classical Monocytes|Non-classical Monocytes|ARF6|SMAP1,-0.3866833568094108,0.0030161571171451,-0.38189618873442865,0.005408353360494399
Classical Monocytes|Non-classical Monocytes|GNAI2|S1PR4,0.4199965980815563,0.0030438651928233,0.4234167086326913,0.0052487475092192985
pDCs|B Cells|GNAI2|S1PR4,-0.3873292438008449,0.0032440669238864,-0.39830757583133936,0.005104234974819443
Non-classical Monocytes|NK Cells|ADAM17|ITGB1,0.4412637802778073,0.0035963096013764,0.441494161794586,0.005408353360494399
Classical Monocytes|CD4 T Cells|CD48|CD2,-0.3326058157593675,0.0035963096013764,-0.3285377943004493,0.007221691880306513
